Poids,Nom,%N,%C
1.691,1,6.769,37.18
0.697,2,6.728,37.25
0.845,3,6.666,37.3
0.938,4,6.794,37.564
1.085,5,6.572,37.511
1.542,6,6.735,37.396
1.1,7,6.779,37.546
1.199,8,6.695,37.16
0.824,9,6.796,37.7
1.515,10,6.649,37.539
1.064,11,6.57,37.338
1.279,12,6.657,37.681
1.261,21,7.15,37.789
1.529,22,6.979,37.948
0.736,23,7.009,37.456
1.391,24,7.23,38.243
1.035,25,7.319,38.265
0.875,26,7.231,37.427
1.146,27,NA,NA
0.72,28,6.995,36.126
0.792,29,7.105,38.016
1.034,30,7.191,38.259
0.691,31,7.242,37.96
1.08,32,7.128,38.26
1.06,41,6.737,37.987
1.044,42,6.671,37.625
0.738,43,6.805,38.276
0.951,44,6.844,38.463
1.081,45,6.774,37.851
0.824,46,6.773,38.467
1.087,47,6.651,38.153
1.196,48,6.422,39.165
1.379,49,6.749,38.35
1.049,50,6.619,37.589
1.16,51,6.694,38.171
1.859,52,6.634,37.813
1.067,61,6.885,38.408
1.414,62,6.93,38.353
0.97,63,6.961,37.791
1.384,64,7.103,37.759
0.861,65,7.079,38.462
0.814,66,7.066,37.758
0.651,67,6.808,37.541
1.288,68,7.206,38.217
1.494,69,7.016,38.302
0.992,70,7.164,37.558
1.006,71,6.998,38.414
1.636,72,6.987,37.894
1.152,81,6.318,37.295
1.339,82,6.29,37.017
1.172,83,6.382,36.782
1.466,84,6.33,37.416
0.667,85,6.391,37.016
1.099,86,6.318,37.049
0.74,87,6.366,36.595
1.012,88,6.262,37.312
0.617,89,6.262,37.466
1.013,90,6.185,36.974
0.933,91,6.3,37.022
1.087,92,6.296,36.855
1.294,101,6.13,39.461
0.74,102,6.231,39.854
1.387,103,6.269,39.966
1.202,104,6.282,39.763
0.816,105,6.385,39.785
1.276,106,6.073,39.714
0.974,107,5.926,41.096
0.994,108,6.158,40.876
1.049,109,6.104,40.882
0.57,110,6.284,40.669
1.023,111,6.243,38.464
1.418,121,6.431,36.776
0.985,122,6.303,35.944
0.555,123,6.434,37.047
0.562,124,6.308,37.444
1.035,125,6.334,36.116
1.273,126,6.422,37.416
0.764,127,6.426,37.785
0.993,128,6.191,37.042
1.321,129,6.235,36.655
1.39,130,6.21,36.59
1.313,131,6.36,36.53
0.222,132,6.355,37.634
2.38,141,6.39,38.517
1.409,142,6.499,39.068
1.683,143,NA,NA
1.689,144,6.1,38.93
0.803,145,6.08,38.69
1.716,146,5.65,39.7
0.674,147,5.81,39.897
0.91,148,5.54,40.44
0.755,149,5.55,40.1
0.956,150,5.71,39.9
1.068,151,5.56,39.63
0.731,161,6.32,37.36
0.912,162,6.43,36.35
0.843,163,6.38,38.02
0.687,164,6.2,38.5
1.101,165,5.97,39.09
0.877,166,6.37,37.75
0.996,167,6.22,37.76
0.537,168,6.24,37.84
1.306,169,6.22,37.5
1.926,170,6.13,37.15
1.249,171,6.08,37.3
1.3,172,5.92,37.73
0.648,181,6,40.09
0.702,182,6.13,40.49
1.032,183,5.96,39.74
0.595,184,6.19,40.15
0.623,185,5.783,40.791
2.495,186,6.001,40.38
0.922,187,5.825,40.455
1.753,188,5.863,39.046
1.358,189,6.06,39.333
1.177,190,5.726,40.34
1.089,191,6.017,38.803
0.524,192,6.093,38.737
